JobID|State|Elapsed|NodeList|ExitCode
246820|CANCELLED by 1006|00:03:59|gpu03|0:0
246820.batch|CANCELLED|00:04:00|gpu03|0:15
246821|COMPLETED|00:00:19|ap-rtx|0:0
246821.batch|COMPLETED|00:00:19|ap-rtx|0:0
246822|COMPLETED|00:00:54|ap-rtx|0:0
246822.batch|COMPLETED|00:00:54|ap-rtx|0:0
246823|COMPLETED|00:00:26|ap-rtx|0:0
246823.batch|COMPLETED|00:00:26|ap-rtx|0:0
246824|FAILED|00:01:14|gpu03|1:0
246824.batch|FAILED|00:01:14|gpu03|1:0
246825|COMPLETED|00:00:20|ap-rtx|0:0
246825.batch|COMPLETED|00:00:20|ap-rtx|0:0
246826|COMPLETED|00:00:53|ap-rtx|0:0
246826.batch|COMPLETED|00:00:53|ap-rtx|0:0
246827|COMPLETED|00:00:27|ap-rtx|0:0
246827.batch|COMPLETED|00:00:27|ap-rtx|0:0
246828|FAILED|00:00:32|gpu09|1:0
246828.batch|FAILED|00:00:32|gpu09|1:0
246829|TIMEOUT|00:12:29|gpu04|0:0
246829.batch|CANCELLED|00:12:31|gpu04|0:15
246829.0|CANCELLED|00:00:03|gpu04|0:105
246830|COMPLETED|00:05:15|ap-rtx|0:0
246830.batch|COMPLETED|00:05:15|ap-rtx|0:0
246830.0|CANCELLED|00:00:03|ap-rtx|0:53
246831|COMPLETED|00:05:44|gpu03|0:0
246831.batch|COMPLETED|00:05:44|gpu03|0:0
246832|FAILED|00:01:10|gpu03|1:0
246832.batch|FAILED|00:01:10|gpu03|1:0
246833|COMPLETED|00:02:36|ap-rtx|0:0
246833.batch|COMPLETED|00:02:36|ap-rtx|0:0
246834|COMPLETED|00:02:48|ap-rtx|0:0
246834.batch|COMPLETED|00:02:48|ap-rtx|0:0
246835|COMPLETED|00:04:47|gpu03|0:0
246835.batch|COMPLETED|00:04:47|gpu03|0:0
246836|COMPLETED|00:03:46|ap-rtx|0:0
246836.batch|COMPLETED|00:03:46|ap-rtx|0:0
