JobID|State|Elapsed|NodeList|ExitCode
246837|FAILED|00:10:03|gpu03|124:0
246837.batch|FAILED|00:10:03|gpu03|124:0
246838|CANCELLED by 1006|00:09:26|ap-rtx|0:0
246838.batch|CANCELLED|00:09:33|ap-rtx|0:15
246839|FAILED|00:01:04|gpu03|1:0
246839.batch|FAILED|00:01:04|gpu03|1:0
246840|CANCELLED by 1006|00:00:00|None assigned|0:0
246841|CANCELLED by 1006|00:00:00|None assigned|0:0
246842|CANCELLED by 1006|00:00:00|None assigned|0:0
246843|CANCELLED by 1006|00:00:00|None assigned|0:0
246844|CANCELLED by 1006|00:00:00|None assigned|0:0
246845|FAILED|00:10:03|gpu03|124:0
246845.batch|FAILED|00:10:03|gpu03|124:0
246846|COMPLETED|00:01:03|ap-rtx|0:0
246846.batch|COMPLETED|00:01:03|ap-rtx|0:0
246847|COMPLETED|00:00:48|ap-rtx|0:0
246847.batch|COMPLETED|00:00:48|ap-rtx|0:0
246848|COMPLETED|00:01:31|ap-rtx|0:0
246848.batch|COMPLETED|00:01:31|ap-rtx|0:0
246849|COMPLETED|00:00:52|ap-rtx|0:0
246849.batch|COMPLETED|00:00:52|ap-rtx|0:0
246850|COMPLETED|00:00:51|ap-rtx|0:0
246850.batch|COMPLETED|00:00:51|ap-rtx|0:0
246852|COMPLETED|00:00:50|ap-rtx|0:0
246852.batch|COMPLETED|00:00:50|ap-rtx|0:0
246853|FAILED|00:01:00|gpu03|1:0
246853.batch|FAILED|00:01:00|gpu03|1:0
246854|COMPLETED|00:09:08|gpu03|0:0
246854.batch|COMPLETED|00:09:08|gpu03|0:0
